id,city_name,state
C253c7253-b207-44c5-8992-c16248015967,Los Angeles,CA
C6477b691-2a29-4348-9918-7ee8c52d3317,San Diego,CA
Cc7e57a65-680a-4c82-9dba-1511076fd6b6,San Jose,CA
Cc1c2194b-0df3-49ad-ad58-4ed294da71f8,San Francisco,CA
C8ea07765-dc94-4da7-a87c-1b1607032b3e,Fresno,CA
Caefb27c0-ff16-4e94-89c1-512bd6578a90,Sacramento,CA
C144be8b8-2318-4c2e-9618-8750830ca8eb,Long Beach,CA
C7aa9cf54-d4e5-4806-9879-5fc9288ce222,Oakland,CA
C6f499dd6-aa6d-440b-9f42-dd6079d35b5b,Bakersfield,CA
C2eba4e4a-0ba7-4b78-bc02-c2786bc8be2b,Anaheim,CA
C09ab00d3-7435-4ede-97f2-ca9dbe729855,Santa Ana,CA
C7c91c923-17ad-4ad8-b794-5ae76be91beb,Riverside,CA
Cf9164b82-b7d0-409d-a757-06c5809e4404,Stockton,CA
C1a0dff67-6af2-4bcb-8a23-26ad8074d7cd,Irvine,CA
C0df0e176-798d-4a63-88a2-6e99ed35f7a2,Chula Vista,CA
C30835962-5439-4e88-a00d-5d9a3f9e4cfa,Fremont,CA
Cb0b3d4b0-1458-4e92-981f-3e1aa9e7f216,San Bernardino,CA
Cc8479965-08df-4b22-af03-8ed16fb711c7,Modesto,CA
Cec52a3eb-3bb8-4d91-8759-0577f5271fe0,Fontana,CA
C5055d984-b77b-41f2-a820-3844cd7c2e13,Santa Clarita,CA
Ca4b154c2-6a26-4b49-a169-0bfdb46ba974,Moreno Valley,CA
C5195226c-ce3a-4cbd-9f76-d74dd83baeca,Oxnard,CA
C0e8393db-0036-41fb-bd7d-cf05b594a4f5,Huntington Beach,CA
C0a665276-2af7-4bf6-8d21-1ead913f7014,Glendale,CA
Cfd1f06bf-3da4-4d8e-838f-d2c7b55c9196,Santa Rosa,CA
C4aeee9cf-52a6-45fe-aea9-1a8abea35d74,Ontario,CA
C9dee6ab2-e4f6-45b8-b856-29ea2254686f,Rancho Cucamonga,CA
C809f502e-a5f3-40d0-b80c-871e72c43778,Oceanside,CA
C1c76a93d-ca99-453a-a96a-978e5cd99a8d,Elk Grove,CA
Cf2d4787b-9ae6-4f65-955e-5f21eca3bdb3,Garden Grove,CA
C2c74a801-10cb-460b-be35-8120575e1d9f,Corona,CA
C37973182-6970-4937-a97d-706615667dbd,Hayward,CA
Ccc0ebe72-3e25-4255-ab4b-4712a0948346,Lancaster,CA
Ce483d096-59e0-4d48-992e-13f14bc07862,Salinas,CA
Cead11ae4-1047-41d4-a517-166b1d1b05ff,Palmdale,CA
C8a75c3f5-f30a-421c-b60c-091193f4bd7e,Sunnyvale,CA
C33dc5ae0-a7f3-4ef8-b47f-6a668f44f5bf,Pomona,CA
C4f8c9321-65e1-4431-9b33-2ec1cad290b8,Escondido,CA
C954ad380-085e-436b-a723-15a710bee0e7,Torrance,CA
Ce121f6f5-c5a1-4ac5-8414-689a5380c252,Pasadena,CA
C18afcc5c-d93a-4799-b1a4-cbc1f3e01161,Fullerton,CA
C01bb9583-c3de-49c4-a1c3-7d030d08540d,Orange,CA
C315f13b7-d867-48b3-a7e8-aa42e91aa52f,Roseville,CA
C27363bef-bbd9-4700-917c-0e73fe034beb,Visalia,CA
Cbbe53225-03d3-4730-958f-12242f2154fd,Concord,CA
C979aaab1-7311-442f-ad07-88b2581b7df0,Thousand Oaks,CA
C7fade275-a0d3-466c-9303-94ee78a1383d,Santa Clara,CA
C7cbb9768-6e98-4de1-96dd-f3df31a907cc,Simi Valley,CA
