city,road,distance,
Thousand Oaks,Highway 101,,
Santa Maria,Highway 101,120,
San Luis Obispo,Highway 101,33,153
Salinas,Highway 101,126,279
Gilroy,Highway 101,28,307
San Jose,Highway 101,33,340
Mountain View,Highway 101,14,354
San Mateo,Highway 101,21,375
Daly City,Highway 101,15,390
San Francisco,Highway 101,10,400
Corte Madera,Highway 101,15,415
Larkspur,Highway 101,1,416
San Rafael,Highway 101,5,421
Novato,Highway 101,11,432
Petaluma,Highway 101,11,443
Santa Rosa,Highway 101,17,460
Ukiah,Highway 101,61,521
Fortuna,Highway 101,141,662
Eureka,Highway 101,18,680
Crecente,Highway 101,,680
San Ysidro,Interstate 5,,0
Chula Vista,Interstate 5,8,8
National City,Interstate 5,3,11
San Diego,Interstate 5,5,16
Solana Beach,Interstate 5,23,39
Cardiff-by-the-Sea,Interstate 5,2,41
Encinitas,Interstate 5,2,43
Carlsbad,Interstate 5,11,54
Oceanside,Interstate 5,5,59
San Onofre,Interstate 5,,59
San Clemente,Interstate 5,22,81
Dana Point,Interstate 5,4,85
San Juan Capistrano,Interstate 5,3,88
Mission Viejo,Interstate 5,9,97
Laguna Hills,Interstate 5,3,100
Irvine,Interstate 5,9,109
Tustin,Interstate 5,8,117
Santa Ana,Interstate 5,2,119
Orange,Interstate 5,4,123
Anaheim,Interstate 5,9,132
Buena Park,Interstate 5,8,140
La Mirada,Interstate 5,3,143
Santa Fe Springs,Interstate 5,1,144
Norwalk,Interstate 5,5,149
Pico Rivera,Interstate 5,9,158
Downey,Interstate 5,1,159
Commerce,Interstate 5,3,162
East Los Angeles,Interstate 5,4,166
Los Angeles,Interstate 5,3,169
Glendale,Interstate 5,13,182
Burbank,Interstate 5,9,191
San Fernando,Interstate 5,18,209
Sylmar,Interstate 5,4,213
Santa Clarita,Interstate 5,20,233
Valencia,Interstate 5,1,234
Castaic,Interstate 5,7,241
Gorman,Interstate 5,52,293
Lebec,Interstate 5,5,298
Fort Tejon,Interstate 5,2,300
Wheeler Ridge,Interstate 5,12,312
Bakersfield,Interstate 5,35,347
Buttonwillow,Interstate 5,15,362
Lost Hills,Interstate 5,10,372
Kettleman City,Interstate 5,50,422
Coalinga,Interstate 5,19,441
Firebaugh,Interstate 5,53,494
Santa Nella,Interstate 5,32,526
Patterson,Interstate 5,40,566
Westley,Interstate 5,1,567
Vernalis,Interstate 5,19,586
Tracy,Interstate 5,10,596
Lathrop,Interstate 5,20,616
French Camp,Interstate 5,14,630
Stockton,Interstate 5,5,635
Lodi,Interstate 5,20,655
Thornton,Interstate 5,18,673
Elk Grove,Interstate 5,50,723
Sacramento,Interstate 5,35,758
Woodland,Interstate 5,39,797
Yolo,Interstate 5,7,804
Zamora,Interstate 5,10,814
Dunnigan,Interstate 5,13,827
Hershey,Interstate 5,1,828
Arbuckle,Interstate 5,16,844
Williams,Interstate 5,25,869
Maxwell,Interstate 5,17,886
Delevan,Interstate 5,9,895
Willows,Interstate 5,24,919
Bluegum,Interstate 5,1,920
Orland,Interstate 5,25,945
Corning,Interstate 5,23,968
Richfield,Interstate 5,1,969
Red Bluff,Interstate 5,17,986
Cottonwood,Interstate 5,17,1003
Anderson,Interstate 5,4,1007
Redding,Interstate 5,7,1014
North Redding,Interstate 5,4,1018
Shasta Lake,Interstate 5,24,1042
O'Brien,Interstate 5,14,1056
Lakeshore,Interstate 5,10,1066
Lakehead,Interstate 5,1,1067
Delta,Interstate 5,9,1076
Castle Crag,Interstate 5,27,1103
Dunsmuir,Interstate 5,4,1107
Shasta Springs,Interstate 5,3,1110
Mount Shasta,Interstate 5,7,1117
Weed,Interstate 5,11,1128
Grenada,Interstate 5,24,1152
Yreka,Interstate 5,12,1164
Hornbrook,Interstate 5,20,1184
Tracy,Interstate 580,,
Vernalis,Interstate 580,,
Livermore,Interstate 580,,
Dublin,Interstate 580,,
