id,name,marker,state,distance
R1d181159-f76d-4d32-af9a-532cd395c8c8,Interstate 5,San Diego,CA,
Rb1113d8f-4033-4a0a-8197-8bbb8898eedc,Interstate 5,Chula Vista,CA,
R624ca842-9c22-4a26-818c-1e1426559fcb,Interstate 5,National City,CA,
R10682118-fad6-4a1e-bf8e-b189f073e18a,Interstate 5,San Diego,CA,
Re174a882-176e-4c38-a704-efc2e8b0c6fc,Interstate 5,San Diego–Solana Beach line,CA,
Ra449f69c-7686-45dc-a1bd-ba3f79ce7874,Interstate 5,Solana Beach,CA,
R7d516f56-0036-4f38-9885-48a03baf6d29,Interstate 5,Encinitas,CA,
R70d15ed1-91e7-4ced-a924-0aa491c1c7cd,Interstate 5,Encinitas–Carlsbad line,CA,
R33aaff05-6b92-48c4-98b2-b6fea8c99c8e,Interstate 5,Carlsbad,CA,
R7f1ddfe2-e91a-43c4-acaa-8255b7160cd4,Interstate 5,Oceanside,CA,
R9810b845-05ca-4d76-bebf-beb4589979d5,Interstate 5,Camp Pendleton South,CA,
Raa70c8e2-14f4-41a2-b130-77c2d1e51212,Interstate 5,San Clemente,CA,
R99c54dbe-05fe-47fd-982c-de5519f94b18,Interstate 5,Orange,CA,
R33a64b6c-5ebc-44c1-9dca-04aa9cde4a98,Interstate 5,San Clemente–Dana Point line,CA,
R6304e027-e17b-4de6-9557-1e5b2bb9d46c,Interstate 5,Dana Point–San Juan Capistrano line,CA,
Rf1329ec1-0c3c-4b03-8678-32a2a0dfac22,Interstate 5,San Juan Capistrano,CA,
R7619b1da-961c-49ec-b7f7-2613d233ab6b,Interstate 5,San Juan Capistrano–Mission Viejo line,CA,
Re8c8963a-5de4-4534-825e-03feb73f7609,Interstate 5,Mission Viejo,CA,
R5b5576a7-3758-4d09-8064-3e79d5df5371,Interstate 5,Mission Viejo–Laguna Hills line,CA,
R7f664e3f-625b-496b-9cec-a640bb55658d,Interstate 5,Laguna Hills–Lake Forest line,CA,
R3d293543-5b88-4f77-9daa-03f98a497d57,Interstate 5,Irvine–Tustin line,CA,
R581ca899-2ab7-4842-8563-7c2ae195d0eb,Interstate 5,Tustin,CA,
R5acb6108-a2d3-4b2e-b587-8965b5dfb8a6,Interstate 5,Santa Ana,CA,
Ra855311e-3552-46ea-a945-f1673cb62a0e,Interstate 5,Santa Ana–Orange line,CA,
Re120fe8c-a0c6-4c47-aa0d-414053eb8361,Interstate 5,Orange,CA,
R86edbc7e-5d12-4774-9c62-4f288d403b3f,Interstate 5,Anaheim,CA,
Raaea888a-44a2-4ffb-81d8-f5c478ba4633,Interstate 5,Anaheim–Fullerton line,CA,
Re900e6d4-1c61-4140-b98a-61df4d7b2804,Interstate 5,Fullerton,CA,
Rd8cdc14d-fe9a-477f-9993-d4fe3b6cdeb1,Interstate 5,Fullerton–Buena Park line,CA,
R05baab84-6d39-46dc-ad13-9c899a89c4cf,Interstate 5,Buena Park,CA,
R78653e19-5ba9-42aa-a801-ca9d0b9ad360,Interstate 5,La Mirada–Santa Fe Springs line,CA,
Rfb05ccb1-4e83-49a5-85f7-fc630912e096,Interstate 5,Santa Fe Springs,CA,
R4d4b3287-99c8-464b-8ab9-c88fc1519977,Interstate 5,Santa Fe Springs–Norwalk line,CA,
Ra2b6f80d-b0e5-48eb-8b54-ec75d012aec3,Interstate 5,Norwalk,CA,
Re3c2fbb4-4a06-462b-ab35-06506940bf4a,Interstate 5,Santa Fe Springs–Downey line,CA,
R36effeb1-597a-48ab-b563-2d7b801212ce,Interstate 5,Downey,CA,
Re6b2d92b-c891-4dd8-a0b7-65f0e50f7e3c,Interstate 5,Montebello–Commerce line,CA,
Rd74c62ba-0b00-4fc9-b153-71b501204ed1,Interstate 5,Commerce,CA,
Rbf00ca48-cb37-4e3e-b3f1-3e64fed942f3,Interstate 5,East Los Angeles,CA,
R25f475b2-5d29-4380-a4b2-3b803de84111,Interstate 5,Los Angeles,CA,
Re0078c21-bc50-4b97-aba9-c7af061ce01c,Interstate 5,Glendale,CA,
Rd14faca4-a952-4527-8602-5027b693619f,Interstate 5,Burbank,CA,
Rcd1cf7f4-c024-4217-ad51-a6c6ca7bcc28,Interstate 5,Los Angeles,CA,
Rde8092b5-f215-4e79-99cb-74d75ae5b093,Interstate 5,Santa Clarita,CA,
R8055a31d-c71c-480c-a6bc-eee7716a55dd,Interstate 5,Castaic,CA,
Rb42e7ae6-8cd8-420a-a5e8-d93ebc268157,Interstate 5,Lebec,CA,
R83ec1ed8-d01f-4437-8d1c-bfa6f5c30395,Interstate 5,Wheeler Ridge,CA,
R13c1b188-20b3-49b2-b4e5-95039d2f7151,Interstate 5,Buttonwillow,CA,
R14209080-5d75-4afd-a833-945b1f2416b3,Interstate 5,Lost Hills,CA,
Re1d328cf-9372-41bb-97e4-1605efa01c15,Interstate 5,Kettleman City,CA,
